longitude,latitude,light_intensity,geometry,index_right,quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,light_intensity_category,avg_d_kbps_category,avg_u_kbps_category
56.05833522,25.89166627,169,POINT (56.05833522180002 25.8916662738),3274756,1.23E+15,241221,106139,7,32,7,High,fast,moderate
56.06250189,25.89166627,170,POINT (56.06250188850002 25.8916662738),3274756,1.23E+15,241221,106139,7,32,7,High,fast,moderate
56.06666856,25.89166627,170,POINT (56.066668555200025 25.8916662738),3274757,1.23E+15,209953,93718,6,2,1,High,fast,moderate
56.01666855,25.88749961,0,POINT (56.01666855480002 25.8874996071),3274731,1.23E+15,192427,73971,6,6,5,Low,fast,moderate
56.02083522,25.88749961,0,POINT (56.02083522150002 25.8874996071),3274734,1.23E+15,158264,102317,7,24,2,Low,fast,moderate
56.03750189,25.88749961,172,POINT (56.03750188830002 25.8874996071),3274746,1.23E+15,95399,45961,7,4,3,High,moderate,slow
56.04166856,25.88749961,172,POINT (56.04166855500002 25.8874996071),3274749,1.23E+15,166862,129211,7,34,12,High,fast,moderate
56.04583522,25.88749961,174,POINT (56.04583522170002 25.8874996071),3274749,1.23E+15,166862,129211,7,34,12,High,fast,moderate
56.05000189,25.88749961,174,POINT (56.050001888400026 25.8874996071),3274750,1.23E+15,232483,144676,9,4,3,High,fast,moderate
56.05833522,25.88749961,169,POINT (56.05833522180002 25.8874996071),3274758,1.23E+15,204744,109700,8,3,1,High,fast,moderate
56.06250189,25.88749961,171,POINT (56.06250188850002 25.8874996071),3274758,1.23E+15,204744,109700,8,3,1,High,fast,moderate
56.06666856,25.88749961,170,POINT (56.066668555200025 25.8874996071),3274759,1.23E+15,295526,211568,8,1,1,High,fast,fast
56.00833522,25.88333294,168,POINT (56.00833522140002 25.883332940400003),3274732,1.23E+15,149166,81964,7,4,4,High,moderate,moderate
56.01250189,25.88333294,0,POINT (56.012501888100026 25.883332940400003),3274732,1.23E+15,149166,81964,7,4,4,Low,moderate,moderate
56.01666855,25.88333294,169,POINT (56.01666855480002 25.883332940400003),3274733,1.23E+15,186603,106895,6,32,13,High,fast,moderate
56.02083522,25.88333294,172,POINT (56.02083522150002 25.883332940400003),3274735,1.23E+15,221596,127286,6,46,10,High,fast,moderate
56.02500189,25.88333294,0,POINT (56.02500188820002 25.883332940400003),3274736,1.23E+15,134366,71931,12,3,2,Low,moderate,moderate
56.02916855,25.88333294,0,POINT (56.029168554900025 25.883332940400003),3274736,1.23E+15,134366,71931,12,3,2,Low,moderate,moderate
56.03333522,25.88333294,0,POINT (56.033335221600026 25.883332940400003),3274747,1.23E+15,177803,107728,9,37,9,Low,fast,moderate
56.03750189,25.88333294,171,POINT (56.03750188830002 25.883332940400003),3274748,1.23E+15,238502,149521,7,26,8,High,fast,moderate
56.04166856,25.88333294,171,POINT (56.04166855500002 25.883332940400003),3274751,1.23E+15,244297,133824,7,11,6,High,fast,moderate
56.04583522,25.88333294,173,POINT (56.04583522170002 25.883332940400003),3274751,1.23E+15,244297,133824,7,11,6,High,fast,moderate
56.05000189,25.88333294,174,POINT (56.050001888400026 25.883332940400003),3274752,1.23E+15,304539,95914,8,1,1,High,fast,moderate
56.00833522,25.87916627,168,POINT (56.00833522140002 25.8791662737),3274732,1.23E+15,149166,81964,7,4,4,High,moderate,moderate
56.01250189,25.87916627,169,POINT (56.012501888100026 25.8791662737),3274732,1.23E+15,149166,81964,7,4,4,High,moderate,moderate
56.01666855,25.87916627,169,POINT (56.01666855480002 25.8791662737),3274733,1.23E+15,186603,106895,6,32,13,High,fast,moderate
56.02083522,25.87916627,169,POINT (56.02083522150002 25.8791662737),3274735,1.23E+15,221596,127286,6,46,10,High,fast,moderate
56.02500189,25.87916627,172,POINT (56.02500188820002 25.8791662737),3274736,1.23E+15,134366,71931,12,3,2,High,moderate,moderate
56.02916855,25.87916627,169,POINT (56.029168554900025 25.8791662737),3274736,1.23E+15,134366,71931,12,3,2,High,moderate,moderate
56.03333522,25.87916627,169,POINT (56.033335221600026 25.8791662737),3274747,1.23E+15,177803,107728,9,37,9,High,fast,moderate
56.03750189,25.87916627,170,POINT (56.03750188830002 25.8791662737),3274748,1.23E+15,238502,149521,7,26,8,High,fast,moderate
56.04166856,25.87916627,170,POINT (56.04166855500002 25.8791662737),3274751,1.23E+15,244297,133824,7,11,6,High,fast,moderate
56.04583522,25.87916627,173,POINT (56.04583522170002 25.8791662737),3274751,1.23E+15,244297,133824,7,11,6,High,fast,moderate
56.05000189,25.87916627,173,POINT (56.050001888400026 25.8791662737),3274752,1.23E+15,304539,95914,8,1,1,High,fast,moderate
56.00833522,25.87499961,172,POINT (56.00833522140002 25.874999607000003),3274791,1.23E+15,218779,97852,6,25,6,High,fast,moderate
56.01250189,25.87499961,172,POINT (56.012501888100026 25.874999607000003),3274791,1.23E+15,218779,97852,6,25,6,High,fast,moderate
56.01666855,25.87499961,169,POINT (56.01666855480002 25.874999607000003),3274792,1.23E+15,280082,187938,8,38,14,High,fast,fast
56.02083522,25.87499961,172,POINT (56.02083522150002 25.874999607000003),3274795,1.23E+15,234746,181088,6,14,7,High,fast,fast
56.02500189,25.87499961,172,POINT (56.02500188820002 25.874999607000003),3274796,1.23E+15,195664,103741,9,34,15,High,fast,moderate
56.02916855,25.87499961,170,POINT (56.029168554900025 25.874999607000003),3274796,1.23E+15,195664,103741,9,34,15,High,fast,moderate
56.03333522,25.87499961,171,POINT (56.033335221600026 25.874999607000003),3274825,1.23E+15,177381,138822,8,7,5,High,fast,moderate
56.03750189,25.87499961,170,POINT (56.03750188830002 25.874999607000003),3274826,1.23E+15,291355,196612,7,24,7,High,fast,fast
56.04166856,25.87499961,172,POINT (56.04166855500002 25.874999607000003),3274827,1.23E+15,232468,172393,6,15,7,High,fast,fast
56.04583522,25.87499961,171,POINT (56.04583522170002 25.874999607000003),3274827,1.23E+15,232468,172393,6,15,7,High,fast,fast
56.05000189,25.87499961,172,POINT (56.050001888400026 25.874999607000003),3274828,1.23E+15,387174,320746,7,2,2,High,fast,fast
56.05416856,25.87499961,172,POINT (56.05416855510002 25.874999607000003),3274831,1.23E+15,239864,92247,7,5,2,High,fast,moderate
56.00833522,25.87083294,171,POINT (56.00833522140002 25.8708329403),3274793,1.23E+15,270906,97940,7,12,4,High,fast,moderate
56.01250189,25.87083294,168,POINT (56.012501888100026 25.8708329403),3274793,1.23E+15,270906,97940,7,12,4,High,fast,moderate
56.01666855,25.87083294,168,POINT (56.01666855480002 25.8708329403),3274794,1.23E+15,135147,107095,7,147,10,High,moderate,moderate
